PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Marvin Jones,DET,WR,9.91,12.08,9.91,6400,5500,16,1,1,1,1,0,0,2.5,#FFD589,3,#FFD487,4,#FFF4E0
Kareem Hunt,CLE,RB,10.84,12.05,10.84,6700,6700,21,1,1,1,1,0,0,4.75,#FEFEFE,2.75,#FFD07C,4,#FFF4E0
Curtis Samuel,CAR,WR,9.81,11.77,9.81,5600,4700,20,1,1,1,1,0,0,1.25,#FFBD44,0,#FFA500,4,#FFF4E0
Jakobi Meyers,NE,WR,9.6,11.75,9.6,6000,4900,22,1,1,1,1,0,0,1.25,#FFBD44,2,#FFC45A,4.25,#FFF9EE
Jarvis Landry,CLE,WR,9.35,11.41,9.35,5900,5500,16,1,1,1,1,0,0,3.25,#FFE3B2,0.75,#FFB021,4.5,#FFFEFC
Travis Fulgham,PHI,WR,9.15,11.25,9.15,6800,5600,23,1,1,1,1,0,0,3.5,#FFE8BF,5,#FFF4E1,4.75,#FDFDFE
D.J. Chark,JAC,WR,9.07,11.2,9.07,6200,5700,22,1,1,1,1,0,0,4,#FFF2DB,2.5,#FFCC70,4.75,#FDFDFE
J.D. McKissic,WSH,RB,9.43,11.2,9.43,5600,5200,16,1,1,1,1,0,0,3,#FFDFA4,0.5,#FFAC16,5.5,#F6F6FD
Randall Cobb,HOU,WR,8.79,10.78,8.79,5100,3600,14,1,1,1,1,0,0,0,#FFA500,0,#FFA500,5,#FAFAFE
Giovani Bernard,CIN,RB,8.96,10.46,8.96,6300,5500,14,1,1,1,1,0,0,4.25,#FFF7E9,3.5,#FFDC9D,6,#F1F1FC
James White,NE,RB,8.15,10.24,8.15,5300,4200,14,1,1,1,1,0,0,1.5,#FFC252,0.75,#FFB021,6.75,#EAEAFB
